Gattung,Bid,Ask
Nippon Paper Industries Co.Ltd,"5,45","5,50"
Nippon Sanso Holdings Corp.,"31,12","31,66"
Nippon Sheet Glass Co. Ltd.,"2,14","2,22"
Nippon Steel Corp.,"18,402","18,458"
Nippon Tel. and Tel. Corp.,"0,8851","0,895"
Nippon Yusen K.K. (NYK Line),"30,09","30,72"
NISOURCE Inc.,"32,40","32,60"
Nissan Chemical Corp.,"31,00","31,80"
Nissan Motor Co. Ltd.,"2,4505","2,4915"
Nisshin Seifun Group Inc.,"10,60","10,80"
Nissin Foods Holdings Co. Ltd.,"24,60","24,80"
Nissui Corp.,"5,40","5,55"
Nitto Denko Corp.,"15,20","15,30"
Niu Technologies,"2,30","2,34"
NKT A/S,"88,45","89,35"
NMI Holdings Inc.,"35,80","36,00"
NN Group N.V.,"46,29","46,38"
NNN REIT Inc.,"42,95","43,08"
Noah Holdings Ltd Spons ADRs,"11,90","12,10"
Nokia Corp.,"4,508","4,529"
Nokia Corp. Sp.ADRs,"4,52","4,54"
Nokian Renkaat Oyj,"8,322","8,356"
Nomura Holdings Inc.,"4,728","4,808"
Nomura Holdings Inc. ADRs,"4,78","4,82"
Nomura Micro Science Co. Ltd.,"12,62","13,02"
NongFu Spring Co. Ltd.,"3,60","3,66"
Noodles & Co. Reg.Shares A,"1,11","1,15"
Noram Drilling Company A.S.,"3,04","3,065"
Noram Lithium Corp.,"0,0856","0,0978"
Noratis AG,"1,78","1,93"
Norbit ASA,./.,./.
NorCom Information Techn.KGaA,"4,86","5,28"
Nord Precious Metals Mini.inc.,"0,098","0,125"
Nordea Bank Abp,"10,94","10,98"
Nordex AG,"13,95","14,10"
Nordic American Tankers Ltd.,"3,064","3,103"
Nordic Mining ASA,"2,1965","2,2405"
Nordic Paper Holding AB,"4,30","4,336"
Nordic Semiconductor ASA,"9,214","9,26"
Nordson Corp.,"230,70","232,60"
Nordstrom Inc.,"21,575","21,65"
Norfolk Southern Corp.,"232,00","234,00"
NORMA Group SE,"13,06","13,24"
Norsk Hydro ASA,"5,75","5,796"
North Energy ASA,"0,214","0,224"
North Peak Resources Ltd.,"0,498","0,545"
Northam Platinum Holdings Ltd,"7,70","7,80"
Northern Data AG,"29,15","29,35"
Northern Dynasty Minls Ltd.,"0,3726","0,378"
Northern Graphite Corp.,"0,0602","0,0698"
Northern Minerals Ltd.,"0,012","0,0148"
Northern Oil and Gas Inc.,"33,51","33,75"
Northern Star Resources Ltd.,"10,502","10,61"
Northern Trust Corp.,"94,00","94,50"
Northland Power Inc.,"14,42","14,515"
Northrop Grumman Corp.,"474,70","476,10"
Northwest Natural Holding Co.,"37,30","37,50"
Norwegian Air Shuttle ASA,"0,8402","0,8428"
Norwegian Cruise Line Holdings,"22,035","22,13"
"NOS, SGPS, S.A.","3,60","3,63"
Nouveau Monde Graphite Inc.,"1,304","1,36"
NOV Inc.,"14,38","14,455"
Nova Lifestyle Inc.,"1,02","1,09"
Nova Ltd.,"173,00","174,00"
Nova Minerals Ltd.,"0,1865","0,191"
Novacyt,"0,655","0,667"
Novagold Resources Inc.,"3,34","3,382"
Novanta Inc.,"162,00","163,00"
Novartis AG (Sp.ADRs),"106,50","107,00"
Novavax Inc.,"9,397","9,434"
Novem Group S.A.,"6,60","6,80"
Novo Resources Corp.,"0,056","0,067"
Novo-Nordisk AS,"103,90","103,98"
Novo-Nordisk AS ADRs,"103,50","104,00"
Novocure Ltd.,"15,76","15,875"
Novonesis A/S,"59,74","59,98"
Novonix Ltd.,"0,4728","0,5045"
NRG Energy Inc.,"81,52","81,78"
NRW Holdings Ltd.,"2,26","2,38"
NSI N.V.,"20,25","20,30"
NSK Ltd.,"4,16","4,28"
NTAW Holdings Ltd.,"0,234","0,25"
NTN Corp.,"1,49","1,56"
